response_id,mode,topic,question,student_answer,claude_haiku_4_5,llama_3_1_70b,deepseek_v3_2,gpt_oss_120b,grader_1,grader_2
SM-Q1,Story Mode,Aggregation Risk in a Student Research Prompt,"Your Cyber Range club instructor shows you this prompt a student submitted to a consumer LLM: 'I am a 14-year-old student at Harborview Academy in Trentville. My teacher Mr. Callahan assigned a project on climate change. Can you help me find sources?' In 2 to 3 sentences, explain what aggregation risk this prompt creates even though none of the individual details seem sensitive on their own.","This prompt gives an age, location, school, and teacher name. All of this information could be combined to narrow down the student who submitted the prompt to a handful of students within that school.",2,2,2,3,3,2
SM-Q2,Story Mode,Aggregation Risk in a Student Research Prompt,"Your Cyber Range club instructor shows you this prompt a student submitted to a consumer LLM: 'I am a 14-year-old student at Harborview Academy in Trentville. My teacher Mr. Callahan assigned a project on climate change. Can you help me find sources?' In 2 to 3 sentences, explain what aggregation risk this prompt creates even though none of the individual details seem sensitive on their own.","age, location and class was given. this narrows down to a small number of students in that grade, class and school.",2,2,2,2,3,2
SM-Q3,Story Mode,Applying Data Minimization to a Survey Analysis Prompt,"A student is working on a group project about mental health resources in their school district. Their prompt is: 'We are students at Fernwood Middle School in Dalton. Our survey found that 8 out of 23 students in Ms. Tran's class reported feeling anxious about grades. Help us analyze what this might mean.' In 4 to 5 sentences, apply data minimization to rewrite this prompt, identify every piece of information you removed, and explain why each removal protects privacy.","This is a very long question with a very long answer, could I just get points for this one?",0,0,0,0,0,0
SM-Q4,Story Mode,Evaluating a Partial Data Minimization Attempt,"A student trying to apply data minimization rewrites this original prompt: 'My name is Jordan Lee, I go to Clearfield High School, I have a 3.5 GPA, and I am applying to study nursing.' They rewrite it as: 'I am Jordan Lee and I want to study nursing. Help me write a personal statement.' In 2 to 3 sentences, evaluate whether this rewrite successfully applies data minimization and identify what the student still needs to fix.","I think it does a good job of minimizing identifying information by removing what school he goes to and his GPA, which is personally identifying information.",3,3,3,0,2,2
SM-Q5,Story Mode,Legal and Policy Considerations for Anonymized Student Data in a Consumer LLM,"A teacher wants students to use a free consumer LLM to analyze anonymized survey data from other students. A classmate says it is fine because the data is already anonymized. In 3 to 4 sentences, explain what legal or policy considerations the teacher and students should think about before doing this.",assess how the anonymization was accomplished and if it is sufficient to protect student identity and not break FERPA regulations.,0,1,0,1,2,2
SM-Q6,Story Mode,Legal and Policy Considerations for Anonymized Student Data in a Consumer LLM,"A teacher wants students to use a free consumer LLM to analyze anonymized survey data from other students. A classmate says it is fine because the data is already anonymized. In 3 to 4 sentences, explain what legal or policy considerations the teacher and students should think about before doing this.","Even if the data is anonymized, the teacher must consider FERPA, as student survey results could still be classified as education records.",3,3,3,1,3,3
SM-Q7,Story Mode,Privacy Controls Available on Consumer LLM Platforms,"A student at your Cyber Range club wants to use a consumer LLM regularly for school projects but is concerned about privacy. They ask: 'Is there anything I can actually do to protect my information, or does the platform control everything?' In 3 to 4 sentences, describe at least two privacy controls available to the student and explain what each one actually does and what it does not do.","You may be able to set guardrails on the LLM and put more restraints on data, but that would be for what is returned to you and not what is stored.",2,2,0,0,0,0
SM-Q8,Story Mode,Privacy Controls Available on Consumer LLM Platforms,"A student at your Cyber Range club wants to use a consumer LLM regularly for school projects but is concerned about privacy. They ask: 'Is there anything I can actually do to protect my information, or does the platform control everything?' In 3 to 4 sentences, describe at least two privacy controls available to the student and explain what each one actually does and what it does not do.","set the LLM to delete conversations, to not retain past conversations.",2,2,0,0,1,1
LS-Q1,Level Select,Aggregation Risk in a Student Research Prompt,"Your Cyber Range club instructor shows you this prompt a student submitted to a consumer LLM: 'I am a 14-year-old student at Harborview Academy in Trentville. My teacher Mr. Callahan assigned a project on climate change. Can you help me find sources?' In 2 to 3 sentences, explain what aggregation risk this prompt creates even though none of the individual details seem sensitive on their own.","Each individual detail seems harmless, but together they form a specific profile that can be used to identify and target this minor.
Also age + school + school location will provide a way to not only target the student but also a way to hack into the school profile.",2,2,2,2,2,2
LS-Q2,Level Select,Aggregation Risk in a Student Research Prompt,"Your Cyber Range club instructor shows you this prompt a student submitted to a consumer LLM: 'I am a 14-year-old student at Harborview Academy in Trentville. My teacher Mr. Callahan assigned a project on climate change. Can you help me find sources?' In 2 to 3 sentences, explain what aggregation risk this prompt creates even though none of the individual details seem sensitive on their own.","Age should not be used because it narrows down the demographic, and combining it with school name, location, and teacher can identify a specific student. Age, School name, Location, and teacher name should all be removed to protect the student. ",3,3,3,3,3,3
LS-Q3,Level Select,Aggregation Risk in a Student Research Prompt,"Your Cyber Range club instructor shows you this prompt a student submitted to a consumer LLM: 'I am a 14-year-old student at Harborview Academy in Trentville. My teacher Mr. Callahan assigned a project on climate change. Can you help me find sources?' In 2 to 3 sentences, explain what aggregation risk this prompt creates even though none of the individual details seem sensitive on their own.","Even though each detail alone seems harmless, combining age, school name, and teacher’s name creates an aggregation risk because it can narrow the identity down to a very small, identifiable group. This makes it easier for someone—or a system linking data across prompts—to associate the student with their school context and track or profile them. Even “basic” educational details become more sensitive when combined in a single prompt.",3,3,3,3,3,3
LS-Q4,Level Select,Aggregation Risk in an Internship Application Prompt,"A student applying for a summer internship tells their classmate: 'None of this is sensitive. I just told the AI my name, the company I am applying to, my GPA, and that I am 16.' In 2 to 3 sentences, explain why this reasoning is flawed and what risk the student may have created.","To apply for summer internship its redundant to tell the LLM your name, age which is considered a personal data. This creates a risk of letting the LLM know about your personal data which is not needed for job applications.",1,1,0,1,1,1
LS-Q5,Level Select,Aggregation Risk in an Internship Application Prompt,"A student applying for a summer internship tells their classmate: 'None of this is sensitive. I just told the AI my name, the company I am applying to, my GPA, and that I am 16.' In 2 to 3 sentences, explain why this reasoning is flawed and what risk the student may have created.","This reasoning is flawed because the information the student gave AI is PII. The AI now knows the student's name and age, and can use that information when asked further questions. The GPA isn't as important, but it could be used in conversations later about school choices, scholarships, etc.",1,2,1,2,1,2
LS-Q6,Level Select,Aggregation Risk in an Internship Application Prompt,"A student applying for a summer internship tells their classmate: 'None of this is sensitive. I just told the AI my name, the company I am applying to, my GPA, and that I am 16.' In 2 to 3 sentences, explain why this reasoning is flawed and what risk the student may have created.","The student gave enough information that can be used to search for the students social media.
Information of children is normally prohibited, but AI companies seem to be exempt.",1,1,1,1,1,1
LS-Q7,Level Select,Aggregation Risk in an Internship Application Prompt,"A student applying for a summer internship tells their classmate: 'None of this is sensitive. I just told the AI my name, the company I am applying to, my GPA, and that I am 16.' In 2 to 3 sentences, explain why this reasoning is flawed and what risk the student may have created.","Using their name, where they are applying, GPA, and age allows AI to make connections that can identify them specifically. Not only does it identify them specifically but it also give location information of where they will be if they get the internship.
",2,3,2,3,3,3
LS-Q8,Level Select,Aggregation Risk in an Internship Application Prompt,"A student applying for a summer internship tells their classmate: 'None of this is sensitive. I just told the AI my name, the company I am applying to, my GPA, and that I am 16.' In 2 to 3 sentences, explain why this reasoning is flawed and what risk the student may have created.",The information provided allows the LLM to associate them with that company. Giving their age allows the LLM to approximate their year of birth. ,2,2,1,2,2,2
LS-Q9,Level Select,Aggregation Risk in an Internship Application Prompt,"A student applying for a summer internship tells their classmate: 'None of this is sensitive. I just told the AI my name, the company I am applying to, my GPA, and that I am 16.' In 2 to 3 sentences, explain why this reasoning is flawed and what risk the student may have created.","It might seem fine because each detail on its own doesn’t feel very sensitive, but putting your name, age, GPA, and the company together can still create a pretty clear personal profile. That combination makes it easier for someone to identify or track you than you might expect. Even if the AI itself is safe, sharing extra details increases privacy risk without really helping the task.",2,3,2,3,3,3
LS-Q10,Level Select,Aggregation Risk in an Internship Application Prompt,"A student applying for a summer internship tells their classmate: 'None of this is sensitive. I just told the AI my name, the company I am applying to, my GPA, and that I am 16.' In 2 to 3 sentences, explain why this reasoning is flawed and what risk the student may have created.",User is a minor and this is protected PII that should not be disclosed.,1,1,0,1,0,1
LS-Q11,Level Select,Applying Data Minimization to a Survey Analysis Prompt,"A student is working on a group project about mental health resources in their school district. Their prompt is: 'We are students at Fernwood Middle School in Dalton. Our survey found that 8 out of 23 students in Ms. Tran's class reported feeling anxious about grades. Help us analyze what this might mean.' In 4 to 5 sentences, apply data minimization to rewrite this prompt, identify every piece of information you removed, and explain why each removal protects privacy.","We are students at a middle school who are nervous about Teacher Name's grades. Analize what this means
",1,0,1,0,0,0
LS-Q12,Level Select,Applying Data Minimization to a Survey Analysis Prompt,"A student is working on a group project about mental health resources in their school district. Their prompt is: 'We are students at Fernwood Middle School in Dalton. Our survey found that 8 out of 23 students in Ms. Tran's class reported feeling anxious about grades. Help us analyze what this might mean.' In 4 to 5 sentences, apply data minimization to rewrite this prompt, identify every piece of information you removed, and explain why each removal protects privacy.","Help us analyze the findings: 8 out of 23 students in a class reported feeling anxious about grades.
Remove School Name (Fernwood) and age group (middle school) for privacy. Remove specific teacher (Ms. Tran) and class information as it is not needed.",2,2,2,2,2,2
LS-Q13,Level Select,Applying Data Minimization to a Survey Analysis Prompt,"A student is working on a group project about mental health resources in their school district. Their prompt is: 'We are students at Fernwood Middle School in Dalton. Our survey found that 8 out of 23 students in Ms. Tran's class reported feeling anxious about grades. Help us analyze what this might mean.' In 4 to 5 sentences, apply data minimization to rewrite this prompt, identify every piece of information you removed, and explain why each removal protects privacy.","A more privacy-preserving version of the prompt could be: “We are middle school students working on a class project about student well-being. Our survey found that some students reported feeling anxious about grades. Help us interpret what this might suggest in general terms.”

I removed the school name (Fernwood Middle School), city (Dalton), and teacher’s name (Ms. Tran) because they can help identify a specific real-world location or group when combined. I also removed the exact class-level sample size (8 out of 23 students) because small-group statistics can indirectly identify individuals in a classroom setting. These changes reduce the risk of identifying specific students while still allowing the AI to provide useful general analysis.",3,3,3,3,3,3
LS-Q14,Level Select,Applying Data Minimization to a Survey Analysis Prompt,"A student is working on a group project about mental health resources in their school district. Their prompt is: 'We are students at Fernwood Middle School in Dalton. Our survey found that 8 out of 23 students in Ms. Tran's class reported feeling anxious about grades. Help us analyze what this might mean.' In 4 to 5 sentences, apply data minimization to rewrite this prompt, identify every piece of information you removed, and explain why each removal protects privacy.","""In a survey of a single classroom, 8 out of 23 students reported feeling anxious about grades; analyze what this statistical trend might mean."" This minimized version removes specific identifiers: ""Fernwood Middle School,"" ""Dalton,"" and ""Ms. Tran's class."" Stripping the school and city names prevents regional profiling and safeguards the identity of the specific educational community. Eliminating the teacher's name prevents re-identification of the small student pool, ensuring the sensitive mental health data cannot be traced back to individuals.
",2,2,2,2,2,2
LS-Q15,Level Select,Evaluating a Partial Data Minimization Attempt,"A student trying to apply data minimization rewrites this original prompt: 'My name is Jordan Lee, I go to Clearfield High School, I have a 3.5 GPA, and I am applying to study nursing.' They rewrite it as: 'I am Jordan Lee and I want to study nursing. Help me write a personal statement.' In 2 to 3 sentences, evaluate whether this rewrite successfully applies data minimization and identify what the student still needs to fix.","No, the student's rewrite doesn't apply data minimization successfully. The student needs to remove their name and instead state that they're a student interested in studying nursing. 
",2,2,2,2,2,2
LS-Q16,Level Select,Evaluating a Partial Data Minimization Attempt,"A student trying to apply data minimization rewrites this original prompt: 'My name is Jordan Lee, I go to Clearfield High School, I have a 3.5 GPA, and I am applying to study nursing.' They rewrite it as: 'I am Jordan Lee and I want to study nursing. Help me write a personal statement.' In 2 to 3 sentences, evaluate whether this rewrite successfully applies data minimization and identify what the student still needs to fix.","No, they need to remove their name. They need to identify that they are applying to a nursing school and the personal statement is for the application.",1,2,1,1,1,1
LS-Q17,Level Select,Evaluating a Partial Data Minimization Attempt,"A student trying to apply data minimization rewrites this original prompt: 'My name is Jordan Lee, I go to Clearfield High School, I have a 3.5 GPA, and I am applying to study nursing.' They rewrite it as: 'I am Jordan Lee and I want to study nursing. Help me write a personal statement.' In 2 to 3 sentences, evaluate whether this rewrite successfully applies data minimization and identify what the student still needs to fix.","This rewrite partially applies data minimization because it removes the GPA and school name, which reduces some unnecessary detail. However, it still includes the full name “Jordan Lee,” which is personally identifiable and not needed for generating a personal statement. A better version would replace the name with a placeholder and only keep the information relevant to the essay topic, like interest in nursing.",3,3,3,3,3,3
LS-Q18,Level Select,Evaluating a Partial Data Minimization Attempt,"A student trying to apply data minimization rewrites this original prompt: 'My name is Jordan Lee, I go to Clearfield High School, I have a 3.5 GPA, and I am applying to study nursing.' They rewrite it as: 'I am Jordan Lee and I want to study nursing. Help me write a personal statement.' In 2 to 3 sentences, evaluate whether this rewrite successfully applies data minimization and identify what the student still needs to fix.",This is still not good enough. Student also needs to remove their name.,0,1,1,0,1,0
LS-Q19,Level Select,Legal and Policy Considerations for Anonymized Student Data in a Consumer LLM,"A teacher wants students to use a free consumer LLM to analyze anonymized survey data from other students. A classmate says it is fine because the data is already anonymized. In 3 to 4 sentences, explain what legal or policy considerations the teacher and students should think about before doing this.","Ferpa is always a concern when working with student information. Does the survey data include and PID information, school or region details, or anything specific to the course?",1,2,1,1,1,1
LS-Q20,Level Select,Legal and Policy Considerations for Anonymized Student Data in a Consumer LLM,"A teacher wants students to use a free consumer LLM to analyze anonymized survey data from other students. A classmate says it is fine because the data is already anonymized. In 3 to 4 sentences, explain what legal or policy considerations the teacher and students should think about before doing this.","Even if the survey data is “anonymized,” the school still needs to consider whether it could be re-identified through aggregation or combination with other data, especially if it contains small groups or sensitive topics. They should also check the LLM platform’s data usage terms, since consumer tools may store prompts or use them for training, which could conflict with school privacy policies or FERPA obligations. In addition, the teacher should confirm that the school’s acceptable-use and data governance policies allow student data to be uploaded to external AI systems. Finally, students should be reminded that anonymization reduces risk but does not eliminate all privacy or compliance concerns.",3,3,3,3,3,3
LS-Q21,Level Select,Privacy Controls Available on Consumer LLM Platforms,"A student at your Cyber Range club wants to use a consumer LLM regularly for school projects but is concerned about privacy. They ask: 'Is there anything I can actually do to protect my information, or does the platform control everything?' In 3 to 4 sentences, describe at least two privacy controls available to the student and explain what each one actually does and what it does not do.","One privacy control is to avoid sharing personal information, like your name, address, age, and location. You don't want the LLM to know any personal information about you that it can use later on. Also, don't ask personal questions related to health and finances.  The LLM stores this information, and can it as well to respond to your questions. ",0,2,0,1,0,1
LS-Q22,Level Select,Privacy Controls Available on Consumer LLM Platforms,"A student at your Cyber Range club wants to use a consumer LLM regularly for school projects but is concerned about privacy. They ask: 'Is there anything I can actually do to protect my information, or does the platform control everything?' In 3 to 4 sentences, describe at least two privacy controls available to the student and explain what each one actually does and what it does not do.",I am going to write a description which has buzzwords but no application: log in log out incognito mode ,0,0,0,0,0,0
LS-Q23,Level Select,Privacy Controls Available on Consumer LLM Platforms,"A student at your Cyber Range club wants to use a consumer LLM regularly for school projects but is concerned about privacy. They ask: 'Is there anything I can actually do to protect my information, or does the platform control everything?' In 3 to 4 sentences, describe at least two privacy controls available to the student and explain what each one actually does and what it does not do.","You can use temporary chat mode so your chats are not saved in your history. You can also delete conversations if you do not want to keep them. These features help with privacy, but the company may still keep some information, so you should avoid sharing personal information whenever possible.",3,3,2,3,2,3
LS-Q24,Level Select,Privacy Controls Available on Consumer LLM Platforms,"A student at your Cyber Range club wants to use a consumer LLM regularly for school projects but is concerned about privacy. They ask: 'Is there anything I can actually do to protect my information, or does the platform control everything?' In 3 to 4 sentences, describe at least two privacy controls available to the student and explain what each one actually does and what it does not do.","Students can disable model training in their account settings, which stops the platform from using their prompts to improve future AI models, though it does not prevent the provider from temporarily storing data for abuse monitoring. Alternatively, they can use a temporary or incognito chat mode, which ensures the conversation is never saved to their account history. However, this feature does not stop the platform's backend from processing the information or protect against data interception at the network level.
",3,3,3,3,3,3
